,Unnamed: 0,Sector,Sub Sector,Organization,Operation,Operation Type,Address,City,Postal Code,GHG Emissions (kg),Energy Intensity (eWh/HDD/sq. ft),Energy Intensity (ekWh/ML),Year
39,39,Public Hospital,Acute/Chronic Hospital,Winchester District Memorial Hospital,Winchester District Memorial Hospital,facilities used for hospital purposes,566 Louise Street,Winchester,K0C 2K0,1692779.5987965793,19.907083176588905,,2011
40,40,Public Hospital,Chronic Hospital,Toronto Baycrest,Baycrest,facilities used for hospital purposes,3560 Bathurst Street,Toronto,M6A 2E1,1394388.22512164,12.824873944141006,,2011
41,41,Public Hospital,Acute/Chronic Hospital,Alexandra Hospital,Alexandra Hospital,administrative offices and related facilities,29 Noxon Street,Ingersoll,N5C 3V6,472096.82108520006,19.534013393733627,,2011
42,42,Public Hospital,Acute/Chronic Hospital,Alexandra Hospital,Alexandra Hospital,facilities used for hospital purposes,29 Noxon Street,Ingersoll,N5C 3V6,577007.2257708,19.534013393733627,,2011
43,43,Public Hospital,Acute/Chronic Hospital,Kirkland and District Hospital,Kirkland Lake and Distrtict Hospital - Kirkland Lake,administrative offices and related facilities,145 Government Road East,Kirkland Lake,P2N 3P4,214239.6617061,13.258760127186193,,2011
44,44,Public Hospital,Acute/Chronic Hospital,Kirkland and District Hospital,Kirkland Lake and Distrtict Hospital - Kirkland Lake,facilities used for hospital purposes,145 Government Road East,Kirkland Lake,P2N 3P4,1928156.9553549,13.258760127186193,,2011
45,45,Public Hospital,Acute/Chronic Hospital,Newmarket southlake Regional Health Centre,Southlake Regional Health Centre,administrative offices and related facilities,596 Davis Drive,Newmarket,L3Y 2P9,1714885.5472362,31.325413489115743,,2011
46,46,Public Hospital,Acute/Chronic Hospital,Newmarket southlake Regional Health Centre,Southlake Regional Health Centre,facilities used for hospital purposes,596 Davis Drive,Newmarket,L3Y 2P9,6859542.1889448,31.325413489115743,,2011
47,47,Public Hospital,Acute/Chronic Hospital,Newmarket southlake Regional Health Centre,Stronach Regional Cancer Centre,administrative offices and related facilities,596 Davis Drive,Newmarket,L3Y 2P9,322797.3371829,42.4383842581107,,2011
48,48,Public Hospital,Acute/Chronic Hospital,Newmarket southlake Regional Health Centre,Stronach Regional Cancer Centre,facilities used for hospital purposes,596 Davis Drive,Newmarket,L3Y 2P9,968392.0125291,42.438384327163554,,2011
49,49,Public Hospital,Acute/Chronic Hospital,Toronto East General Hospital,Detox Centre,administrative offices and related facilities,985 Danforth Ave,Toronto,M4J 1M1,42471.49211400001,5.936831833343539,,2011
50,50,Public Hospital,Acute/Chronic Hospital,Toronto East General Hospital,Halfway House (Outreach Program),administrative offices and related facilities,177 Danforth,Toronto,M1L 3X1,3995.32608,1.513800367766632,,2011
51,51,Public Hospital,Acute/Chronic Hospital,Toronto East General Hospital,Medical Arts Building,administrative offices and related facilities,555 Mortimer,East York,M4J 2G9,37047.25716,1.8383505608334376,,2011
52,52,Public Hospital,Acute/Chronic Hospital,Toronto East General Hospital,Toronto East General Hospital,administrative offices and related facilities,825 Coxwell Avenue,Toronto,M4C 3E7,902190.2591871,31.43469297301333,,2011
53,53,Public Hospital,Acute/Chronic Hospital,Toronto East General Hospital,Toronto East General Hospital,facilities used for hospital purposes,825 Coxwell Avenue,Toronto,M4C 3E7,14134314.0605979,31.43469297301333,,2011
54,54,Public Hospital,Acute/Chronic Hospital,Toronto North York General,Branson Site,facilities used for hospital purposes,555 Finch Avenue West,Toronto,M2R 1N5,2650471.60447131,16.212553172960508,,2011
55,55,Public Hospital,Acute/Chronic Hospital,Toronto North York General,Branson Site,administrative offices and related facilities,555 Finch Avenue West,Toronto,M2R 1N5,139498.50549849,10.523938024553312,,2011
56,56,Public Hospital,Acute/Chronic Hospital,Toronto North York General,North York General Hospital - Main Site,facilities used for hospital purposes,4001 Leslie St.,Toronto,M2K 1E1,6708262.65704391,21.614210101852084,,2011
57,57,Public Hospital,Acute/Chronic Hospital,Toronto North York General,North York General Hospital - Main Site,administrative offices and related facilities,4001 Leslie St.,Toronto,M2K 1E1,353066.45563389,14.030276732781171,,2011
58,58,Public Hospital,Acute/Chronic Hospital,Toronto North York General,4000 Leslie,administrative offices and related facilities,4000 Leslie St.,Toronto,M2K 2R9,62707.2137808,11.21938826887271,,2011
59,59,Public Hospital,Acute/Chronic Hospital,Lindsay Ross Memorial Hospital,Ross Memorial Hospital,facilities used for hospital purposes,10 Angleine St. N,Lindsay,K9V 4M8,2669063.59563024,14.688561954518502,,2011
60,60,Public Hospital,Acute/Chronic Hospital,Lindsay Ross Memorial Hospital,Ross Memorial Hospital,administrative offices and related facilities,10 Angleine St. N,Lindsay,K9V 4M8,156700.21781556,11.236530996557898,,2011
61,61,Public Hospital,Acute/Chronic Hospital,St. Thomas - Elgin General Hospital,St. Thomas Elgin General Hospital,facilities used for hospital purposes,189 Elm Street,St. Thomas,N5R 5C4,22839223.291146,91.61974543975784,,2011
62,62,Public Hospital,Acute Hospital,Little Current Manitoulin Health Centre,MHC Mindemoya Site,facilities used for hospital purposes,2120a Hwy 551,Mindemoya,P0P 1S0,188364.795516,8.939680540712276,,2011
63,63,Public Hospital,Acute Hospital,Little Current Manitoulin Health Centre,Little Current Site - Offices,administrative offices and related facilities,11 Meredith Street East,Little Current,P0P 1K0,39561.738768504765,6.61265041070928,,2011
64,64,Public Hospital,Acute Hospital,Little Current Manitoulin Health Centre,Little Current Site - Clinic,facilities used for hospital purposes,11 Meredith Street East,Little Current,P0P 1K0,23135.51974545296,6.612650410280733,,2011
65,65,Public Hospital,Acute Hospital,Little Current Manitoulin Health Centre,Little Current Site - Hospital,facilities used for hospital purposes,11 Meredith Street East,Little Current,P0P 1K0,345453.7970465103,6.612650411489715,,2011
66,66,Public Hospital,Acute/Chronic Hospital,The Ottawa Hospital,The Ottawa Hospital - Civic site,facilities used for hospital purposes,1053 Carling Ave.,Ottawa,K1Y 4E9,17349425.596416,15.40872790158672,,2011
67,67,Public Hospital,Acute/Chronic Hospital,The Ottawa Hospital,The Ottawa Hospital - General site,facilities used for hospital purposes,501 Smyth Rd.,Ottawa,K1H 8L6,15798357.6249216,12.076275440129097,,2011
68,68,Public Hospital,Acute/Chronic Hospital,The Ottawa Hospital,The Ottawa Hospital - Riverside site,facilities used for hospital purposes,1967 Riverside dr.,Ottawa,K1H 7W9,2485822.918527,12.540812404689774,,2011
69,69,Public Hospital,Acute/Chronic Hospital,The Ottawa Hospital,The Ottawa Hospital - Vanier site,administrative offices and related facilities,311 McArthur Ave.,Ottawa,K1L 8M3,157765.684125,6.850103504481058,,2011
70,70,Public Hospital,Acute/Chronic Hospital,Atikokan General Hospital,Atikokan General Hospital,facilities used for hospital purposes,120 Dorothy Street,Atikokan,P0T 1C0,941017.131102,17.254986265981657,,2011
71,71,Public Hospital,Acute/Chronic Hospital,Atikokan General Hospital,Atikokan General Hospital,administrative offices and related facilities,120 Dorothy Street,Atikokan,P0T 1C0,17103.299886,16.929923042293577,,2011
72,72,Public Hospital,Acute/Chronic Hospital,Ottawa Royal Ottawa Health Care Group,Royal Ottawa Mental Health Centre,facilities used for hospital purposes,1145 Carling Avenue,Ottawa,K1Z 7K4,1945629.9756142865,9.210829015712072,,2011
73,73,Public Hospital,Acute/Chronic Hospital,Ottawa Royal Ottawa Health Care Group,Royal Ottawa Mental Health Centre,administrative offices and related facilities,1145 Carling Avenue,Ottawa,K1Z 7K5,282793.9025507136,7.436931450874998,,2011
74,74,Public Hospital,Acute/Chronic Hospital,Sault Ste. Marie Sault Area Hospital,Sault Area Hospital,facilities used for hospital purposes,750 Great Northern Road,Sault Ste. Marie,P6B 0A8,8261238.618613872,20.33889707708336,,2011
75,75,Public Hospital,Acute/Chronic Hospital,Sault Ste. Marie Sault Area Hospital,Sault Area Hospital,administrative offices and related facilities,750 Great Northern Road,Sault Ste. Marie,P6B 0A8,203145.211933128,20.38054827697443,,2011
76,76,Public Hospital,Chronic Hospital,Toronto West Park Healthcare Centre,West Park Healthcare Centre,facilities used for hospital purposes,82 Buttonwood Ave.,Toronto,M6M 2J5,2502299.10197241,11.82816584926133,,2011
77,77,Public Hospital,Chronic Hospital,Toronto West Park Healthcare Centre,West Park Healthcare Centre,administrative offices and related facilities,82 Buttonwood Ave.,Toronto,M6M 2J5,131699.95273539,7.677932217941566,,2011
78,78,Public Hospital,Acute/Chronic Hospital,Alexandria Glengarry Memorial Hospital,Glengarry Memorial Hospital,facilities used for hospital purposes,20260 County Road 43,Alexandria,K0C 1A0,584021.132082,18.392556496102497,,2011
79,79,Public Hospital,Acute/Chronic Hospital,Alexandria Glengarry Memorial Hospital,Glengarry Memorial Hospital,administrative offices and related facilities,20260 County Road 43,Alexandria,K0C 1A0,45252.845919,18.392441778474797,,2011
80,80,Public Hospital,Acute/Chronic Hospital,Kingston General Hospital,Kingston General Hospital,facilities used for hospital purposes,76 Stuart Street,Kingston,K7L 2V7,10728205.775123157,13.503401731503496,,2011
81,81,Public Hospital,Acute/Chronic Hospital,Kingston General Hospital,Kingston General Hospital,administrative offices and related facilities,76 Stuart Street,Kingston,K7L 2V7,564642.4092170082,8.765366036239113,,2011
82,82,Public Hospital,Acute/Chronic Hospital,Listowel Memorial Hospital,Listowel Memorial Hospital,facilities used for hospital purposes,255 Elizabeth St.E,Listowel,N4W 2P5,1032844.7401314497,17.87058166204299,,2011
83,83,Public Hospital,Acute/Chronic Hospital,Listowel Memorial Hospital,Listowel Memorial Hospital,administrative offices and related facilities,255 Elizabeth St.E,Listowel,N4W 2P5,31943.651567929865,17.870581496026777,,2011
84,84,Public Hospital,Acute/Chronic Hospital,Listowel Memorial Hospital,Listowel Outpatient Building,facilities used for hospital purposes,285 Sarah Ave N,Listowel,N4W 2Y8,1446.1788423922198,6.453796430990168,,2011
85,85,Public Hospital,Acute/Chronic Hospital,Listowel Memorial Hospital,Listowel Outpatient Building,administrative offices and related facilities,285 Sarah Ave N,Listowel,N4W 2Y8,8195.01347803512,3.405168828699246,,2011
86,86,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,Parkwood Hospital,administrative offices and related facilities,801 Commissioners Road East,London,N6C 5J1,84301.293607125,5.077448267221516,,2011
87,87,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,Parkwood Hospital,facilities used for hospital purposes,802 Commissioners Road East,London,N6C 5J2,3747996.395130993,11.27280285025568,,2011
88,88,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,St. Joseph's Hospital,administrative offices and related facilities,268 Grosvenor Street,London,N6A 4V2,193116.28136573103,6.921536957391084,,2011
89,89,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,St. Joseph's Hospital,facilities used for hospital purposes,269 Grosvenor Street,London,N6A 4V3,8253031.810767148,15.367057212550131,,2011
90,90,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,"Regional Mental Health Care, London",administrative offices and related facilities,850 Highbury Avenue,London,N6A 4H1,108200.921514,5.599607220856861,,2011
91,91,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,"Regional Mental Health Care, London",facilities used for hospital purposes,851 Highbury Avenue,London,N6A 4H2,4247377.782657,12.432156297812446,,2011
92,92,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,"Regional Mental Health Care, St. Thomas",administrative offices and related facilities,467 Sunset Dr.,London,N5P 3V9,41023.977411,2.83689266559574,,2011
93,93,Public Hospital,Acute/Chronic Hospital,St. Joseph's Health Care London,"Regional Mental Health Care, St. Thomas",facilities used for hospital purposes,468 Sunset Dr.,London,N5P 3V10,2370797.875434,7.9288826636094365,,2011
94,94,Public Hospital,Acute/Chronic Hospital,Toronto St. Joseph's Health Care,St. joseph's Health Centre,facilities used for hospital purposes,30 The Queensway,Toronto,M6R 1B5,9065630.5902,20.785975321556023,,2011
95,95,Public Hospital,Acute/Chronic Hospital,The Scarborough Hospital,The Scarborough Hospital - General Campus,facilities used for hospital purposes,3050 Lawrence Avenue East,Toronto,M1P 2V5,4845832.973157,22.42401006390603,,2011
96,96,Public Hospital,Acute/Chronic Hospital,The Scarborough Hospital,The Scarborough Hospital - General Campus,administrative offices and related facilities,3050 Lawrence Avenue East,Toronto,M1P 2V5,1702590.278079,23.24921389248733,,2011
97,97,Public Hospital,Acute/Chronic Hospital,The Scarborough Hospital,The Scarborough Hospital  - Birchmount Campus,facilities used for hospital purposes,3030 Birchmount Road,Toronto,M1W 3W3,2118802.104387,14.70078057641206,,2011
98,98,Public Hospital,Acute/Chronic Hospital,The Scarborough Hospital,The Scarborough Hospital  - Birchmount Campus,administrative offices and related facilities,3030 Birchmount Road,Toronto,M1W 3W3,706269.2587560001,14.799385232847424,,2011
99,99,Public Hospital,Acute/Chronic Hospital,Wingham and District Hospital,Wingham and District Hospital,facilities used for hospital purposes,270 Carling Terrace,Wingham,N0G 2W0,798438.5675117295,2.17761256496768,,2011
100,100,Public Hospital,Acute/Chronic Hospital,Wingham and District Hospital,Wingham and District Hospital,administrative offices and related facilities,270 Carling Terrace,Wingham,N0G 2W0,24693.97631465862,2.1776125649730025,,2011
101,101,Public Hospital,Acute Hospital,Manitouwadge General Hospital,Manitouwadge General Hospital,facilities used for hospital purposes,1 Healthcare Crescent,Manitouwadge,P0T 2C0,564069.65878504,12.560079498952213,,2011
102,102,Public Hospital,Acute Hospital,Manitouwadge General Hospital,Manitouwadge General Hospital,administrative offices and related facilities,1 Healthcare Crescent,Manitouwadge,P0T 2C0,29687.87677816,8.153034060723364,,2011
103,103,Public Hospital,Acute/Chronic Hospital,Lady Dunn Health Centre,Lady Dunn Health Centre,facilities used for hospital purposes,17 Government Road,Wawa,P0S 1K0,423049.869224,9.743365870544537,,2011
104,104,Public Hospital,Acute/Chronic Hospital,Lady Dunn Health Centre,Lady Dunn Health Centre,administrative offices and related facilities,17 Government Road,Wawa,P0S 1K0,15969.698330959252,9.375563809841449,,2011
105,105,Public Hospital,Acute/Chronic Hospital,Napanee Lennox & Addington County General Hospital,Lennox and Addington County General Hospital,facilities used for hospital purposes,8 Richmond Park Drive,Napanee,K7R 2Z4,1130001.21984231,17.921229037570292,,2011
106,106,Public Hospital,Acute Hospital,Strathroy Middlesex General Hospital,Strathroy Middlesex General Hospital,facilities used for hospital purposes,395 Carrie Street,Strathroy,N7G 3J4,252001.9593489132,11.267672396586429,,2011
107,107,Public Hospital,Acute Hospital,Strathroy Middlesex General Hospital,Strathroy Middlesex General Hospital,facilities used for hospital purposes,395 Carrie Street,Strathroy,N7G 3J4,288493.043033123,11.267672396300371,,2011
108,108,Public Hospital,Acute Hospital,Strathroy Middlesex General Hospital,Strathroy Middlesex General Hospital,administrative offices and related facilities,395 Carrie Street,Strathroy,N7G 3J4,424642.1911305237,11.267672394545317,,2011
109,109,Public Hospital,Acute Hospital,Strathroy Middlesex General Hospital,Strathroy Middlesex General Hospital,administrative offices and related facilities,395 Carrie Street,Strathroy,N7G 3J4,228637.2095345988,11.267672396737492,,2011
110,110,Public Hospital,Acute Hospital,Newbury Four Counties Health Services,Four Counties Health Services,facilities used for hospital purposes,1824 Concession Drive,Newbury,N0L 1Z0,119363.6521857299,12.649768075141951,,2011
111,111,Public Hospital,Acute Hospital,Newbury Four Counties Health Services,Four Counties Health Services,administrative offices and related facilities,1824 Concession Drive,Newbury,N0L 1Z0,120191.75930866018,12.649768074575046,,2011
112,112,Public Hospital,Acute Hospital,Newbury Four Counties Health Services,Four Counties Health Services,facilities used for hospital purposes,1824 Concession Drive,Newbury,N0L 1Z0,153490.38282303017,12.649768074570426,,2011
113,113,Public Hospital,Acute Hospital,Newbury Four Counties Health Services,Four Counties Health Services,administrative offices and related facilities,1824 Concession Drive,Newbury,N0L 1Z0,5166.943418554558,5.194436034734134,,2011
114,114,Public Hospital,Acute Hospital,Newbury Four Counties Health Services,Four Counties Old Medical Clinic,administrative offices and related facilities,1794 Concession Drive,Newbury,N0L 1Z0,5385.13439529,2.604580156119182,,2011
115,115,Public Hospital,Acute Hospital,Toronto Casey House,Casey House Hospice,facilities used for hospital purposes,9 Huntley Street,Toronto,M4Y 2K8,60598.409997,18.47399404724898,,2011
116,116,Public Hospital,Acute Hospital,Toronto Casey House,Casey House Hospice,administrative offices and related facilities,119 Isabella,Toronto,M4Y 1P2,16715.535333,11.906578356003113,,2011
117,117,Public Hospital,Acute Hospital,Toronto Casey House,Casey House Hospice,administrative offices and related facilities,571 Jarvis,Toronto,M4Y 2H7,16922.074503,4.940778657910099,,2011
118,118,Public Hospital,Acute Hospital,South Bruce Grey Health Centre,Kincardine site S.B.G.H.C.,facilities used for hospital purposes,43 Queen st,Kincardine,N2Z 1G6,1029817.703464,19.65836692013844,,2011
119,119,Public Hospital,Acute Hospital,South Bruce Grey Health Centre,Chesley site S.B.G.H.C.,facilities used for hospital purposes,39 -2nd east,Chesley,N0G 1L0,540939.707656,31.147207367284647,,2011
120,120,Public Hospital,Acute Hospital,South Bruce Grey Health Centre,Walkerton site S.B.G.H.C.,facilities used for hospital purposes,21 Mcgiven st,Walkerton,N0G 2V0,1317486.752139,19.680891818646185,,2011
121,121,Public Hospital,Acute Hospital,South Bruce Grey Health Centre,Durham site S.B.G.H.C.,facilities used for hospital purposes,320 College st N,Durham,N0G 1R0,182138.399187,11.940773329583823,,2011
122,122,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Tower,facilities used for hospital purposes,840 McConnell Avenue,Cornwall,K6H 5S5,895952.1990907302,13.701140377602698,,2011
123,123,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Tower,administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H 5S5,711057.6082188527,13.169435901870546,,2011
124,124,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,JMP,facilities used for hospital purposes,840 McConnell Avenue,Cornwall,K6H 5S5,655503.9762267638,13.701140377111155,,2011
125,125,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,JMP,administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H 5S5,24195.214621059306,13.708290793325176,,2011
126,126,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Annex,administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H 5S5,55420.02488494963,8.384959622741349,,2011
127,127,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,The Steam Plant,administrative offices and related facilities,840 McConnell Avenue,Cornwall,K6H 5S5,27710.01244198461,8.384959622542082,,2011
128,128,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,Main,facilities used for hospital purposes,510 - 2nd Street,Cornwall,K6H 1Z6,826934.9445160485,11.57466807895825,,2011
129,129,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,Main,administrative offices and related facilities,510 - 2nd Street,Cornwall,K6H 1Z6,400965.7561178579,11.57466807580794,,2011
130,130,Public Hospital,Acute/Chronic Hospital,Cornwall Community Hospital,Steam Plant,administrative offices and related facilities,510 - 2nd Street,Cornwall,K6H 1Z6,18357.88324772868,8.384959624190229,,2011
131,131,Public Hospital,Acute/Chronic Hospital,Oakville Halton Healthcare Services,Oakville Trafalgar Memorial Hospital,facilities used for hospital purposes,327 	Reynolds Street,Oakville,L6J 3L7,4686751.246040445,24.596803578194205,,2011
